SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
Mansfield (Vic.),204011057,26.0,8935.0,3020.0,6545.0,3911,1088.0,971.0,699,0
Manunda,306021152,652.0,5549.0,2092.0,2673.0,1970,471.0,429.0,1203,172
Mareeba,306051170,51.0,11348.0,3803.0,4944.0,4343,834.0,961.0,1332,127
Margaret River,501011004,18.0,9260.0,2516.0,4459.0,4414,1488.0,951.0,1015,0
Margate - Snug,601041024,9.0,7827.0,2441.0,3018.0,3657,1286.0,1158.0,429,4
Maroochy Hinterland,316061443,150.0,6402.0,2328.0,2878.0,2568,982.0,766.0,401,0
Maryborough (Qld),319051524,97.0,18489.0,7035.0,8345.0,5561,1085.0,1932.0,2333,54
Maryborough (Vic.),201031016,48.0,8001.0,3271.0,3990.0,2586,468.0,840.0,947,8
Maryborough Region,201031017,48.0,5278.0,2070.0,2780.0,1840,365.0,637.0,279,0
Maryborough Region - South,319051525,185.0,8442.0,3009.0,4363.0,2552,445.0,1035.0,501,14
McKail - Willyung,509011233,128.0,10560.0,3345.0,4329.0,4657,632.0,1258.0,1021,8
McKellar,801011021,278.0,2810.0,950.0,1032.0,1379,774.0,358.0,197,0
McLaren Vale,403041083,0.0,6090.0,2131.0,2533.0,2749,776.0,840.0,327,0
Meekatharra,511041290,16.0,3184.0,838.0,1557.0,1338,261.0,71.0,418,12
Melton,213041356,18.0,19560.0,6290.0,7418.0,7612,1224.0,2722.0,1772,6
Melton West,213041358,18.0,18157.0,4644.0,6254.0,7637,1397.0,2538.0,1390,0
Merimbula - Tura Beach,101041025,21.1,10846.0,4017.0,5949.0,4098,1380.0,1001.0,1050,0
Merredin,509021240,23.7,5151.0,1930.0,2550.0,2318,398.0,491.0,621,0
Merrimac,309081260,377.0,7339.0,2044.0,2712.0,3361,809.0,833.0,1117,5
Merrylands - Holroyd,125031485,1351.4,29739.0,8458.0,9981.0,11434,4541.0,2412.0,4025,11
Mickleham - Yuroke,210051445,14.0,0,0,1175.0,1730,468.0,0,83,0
Middle Ridge,317011452,507.0,7344.0,2138.0,2582.0,3215,1498.0,783.0,465,0
Middle Swan - Herne Hill,504031065,307.0,5606.0,1801.0,2344.0,2415,468.0,646.0,495,11
Midland - Guildford,504031066,307.0,11011.0,3774.0,5251.0,4515,1404.0,1085.0,1848,11
Mildura Region,215021398,16.0,3747.0,1459.0,1998.0,1745,253.0,323.0,341,5
Miles - Wandoan,307011175,13.0,4136.0,1379.0,2263.0,1982,320.0,301.0,601,11
